batch,accuracy
1,0.22127380170715694
2,0.2639527248850952
3,0.28168089297439264
4,0.3020354563361786
5,0.31254103742613265
6,0.3302692055154301
7,0.329612606697308
8,0.3368351936966513
9,0.34602757715036114
10,0.3525935653315824
11,0.3525935653315824
12,0.3644123440577807
13,0.36572554169402494
14,0.3690085357846356
15,0.3703217334208798
16,0.370978332239002
17,0.3736047275114905
18,0.3736047275114905
19,0.38476690741956665
20,0.3841103086014445
21,0.3841103086014445
22,0.3939592908732764
23,0.3880499015101773
24,0.3893630991464215
25,0.38017071569271177
26,0.3913328956007879
27,0.39658568614576495
28,0.39921208141825343
29,0.3985554826001313
30,0.3978988837820092
31,0.3959290873276428
32,0.3959290873276428
33,0.4024950755088641
34,0.3972422849638871
35,0.4005252790544977
36,0.4038082731451084
37,0.3926460932370322
38,0.4005252790544977
39,0.401838476690742
40,0.39921208141825343
41,0.3959290873276428
42,0.3906762967826658
43,0.39461588969139855
44,0.3952724885095207
45,0.39461588969139855
46,0.3926460932370322
47,0.3854235062376888
48,0.39658568614576495
49,0.3919894944189101
50,0.3939592908732764
51,0.3900196979645437
52,0.3893630991464215
53,0.39461588969139855
54,0.3959290873276428
55,0.3998686802363756
56,0.3926460932370322
57,0.3952724885095207
58,0.39921208141825343
59,0.3978988837820092
60,0.4044648719632304
61,0.4044648719632304
62,0.401838476690742
63,0.4051214707813526
64,0.40118187787261983
65,0.4024950755088641
66,0.4005252790544977
67,0.3952724885095207
68,0.4090610636900854
69,0.4077478660538411
70,0.41168745896257386
71,0.4077478660538411
72,0.4090610636900854
73,0.407091267235719
74,0.4103742613263296
75,0.4130006565988181
76,0.41365725541694026
77,0.4077478660538411
78,0.4103742613263296
79,0.41365725541694026
80,0.40971766250820746
81,0.4123440577806961
82,0.4103742613263296
83,0.4090610636900854
84,0.41365725541694026
85,0.4024950755088641
86,0.40315167432698623
87,0.4057780695994747
88,0.40315167432698623
89,0.4044648719632304
90,0.3985554826001313
91,0.40315167432698623
92,0.3985554826001313
93,0.40118187787261983
94,0.40118187787261983
95,0.4051214707813526
96,0.41168745896257386
97,0.4005252790544977
98,0.4123440577806961
99,0.4090610636900854
100,0.4110308601444517
101,0.4130006565988181
102,0.4064346684175968
103,0.4051214707813526
104,0.4110308601444517
105,0.4143138542350624
106,0.4162836506894288
107,0.4182534471437952
108,0.4130006565988181
109,0.4149704530531845
110,0.4169402495075509
111,0.4182534471437952
112,0.41365725541694026
113,0.42153644123440576
114,0.4156270518713066
115,0.4169402495075509
116,0.41759684832567295
117,0.41759684832567295
118,0.4208798424162837
119,0.4202232435981616
120,0.4208798424162837
121,0.4182534471437952
122,0.42153644123440576
123,0.4221930400525279
124,0.41759684832567295
125,0.4189100459619173
126,0.4169402495075509
127,0.4143138542350624
128,0.4208798424162837
129,0.4169402495075509
130,0.4169402495075509
131,0.4189100459619173
132,0.4156270518713066
133,0.4149704530531845
134,0.4156270518713066
135,0.4182534471437952
136,0.42350623768877216
137,0.42350623768877216
138,0.42810242941562704
139,0.4241628365068943
140,0.42547603414313856
141,0.42350623768877216
142,0.42350623768877216
143,0.42350623768877216
144,0.42547603414313856
145,0.4202232435981616
146,0.4189100459619173
147,0.4189100459619173
148,0.4182534471437952
149,0.41759684832567295
150,0.4182534471437952
151,0.4149704530531845
152,0.4156270518713066
153,0.4189100459619173
154,0.4182534471437952
155,0.4202232435981616
156,0.4221930400525279
157,0.4195666447800394
158,0.42284963887065
159,0.4202232435981616
160,0.4221930400525279
161,0.4241628365068943
162,0.4267892317793828
163,0.4248194353250164
164,0.4208798424162837
165,0.42153644123440576
166,0.4248194353250164
167,0.42153644123440576
168,0.4267892317793828
169,0.42153644123440576
170,0.4274458305975049
171,0.4294156270518713
172,0.4274458305975049
173,0.4274458305975049
174,0.4307288246881156
175,0.4307288246881156
176,0.4274458305975049
177,0.42810242941562704
178,0.4248194353250164
179,0.4274458305975049
180,0.4267892317793828
181,0.4241628365068943
182,0.42284963887065
183,0.4274458305975049
184,0.42810242941562704
185,0.42350623768877216
186,0.42350623768877216
187,0.42284963887065
188,0.4287590282337492
189,0.4241628365068943
190,0.42547603414313856
191,0.4267892317793828
192,0.4248194353250164
193,0.4261326329612607
194,0.4241628365068943
195,0.42284963887065
196,0.4169402495075509
197,0.42153644123440576
198,0.4195666447800394
199,0.42153644123440576
200,0.4208798424162837
201,0.42153644123440576
202,0.4208798424162837
203,0.4202232435981616
204,0.4189100459619173
205,0.4195666447800394
206,0.4189100459619173
207,0.4208798424162837
208,0.42153644123440576
209,0.4261326329612607
210,0.4189100459619173
211,0.42284963887065
212,0.4202232435981616
213,0.4202232435981616
214,0.4189100459619173
215,0.4208798424162837
216,0.4274458305975049
217,0.4195666447800394
218,0.42547603414313856
219,0.4202232435981616
220,0.42547603414313856
221,0.4208798424162837
222,0.42284963887065
223,0.42153644123440576
224,0.42350623768877216
225,0.4261326329612607
226,0.4241628365068943
227,0.42547603414313856
228,0.4202232435981616
229,0.42153644123440576
230,0.4202232435981616
231,0.4261326329612607
232,0.4241628365068943
233,0.42284963887065
234,0.42153644123440576
235,0.4261326329612607
236,0.4182534471437952
237,0.42284963887065
238,0.4221930400525279
239,0.42153644123440576
240,0.4156270518713066
241,0.4189100459619173
242,0.4189100459619173
243,0.4182534471437952
244,0.42810242941562704
245,0.4267892317793828
246,0.42547603414313856
247,0.4202232435981616
248,0.4182534471437952
249,0.4221930400525279
250,0.4195666447800394
251,0.42810242941562704
252,0.4195666447800394
253,0.4208798424162837
254,0.41759684832567295
255,0.4202232435981616
256,0.42350623768877216
257,0.41759684832567295
258,0.42153644123440576
259,0.4182534471437952
260,0.4169402495075509
261,0.4156270518713066
262,0.42153644123440576
263,0.4221930400525279
264,0.42153644123440576
265,0.4208798424162837
266,0.42153644123440576
267,0.4189100459619173
268,0.4202232435981616
269,0.42284963887065
270,0.4221930400525279
271,0.4208798424162837
272,0.4208798424162837
273,0.4182534471437952
274,0.42350623768877216
275,0.42284963887065
276,0.4267892317793828
277,0.42153644123440576
278,0.4261326329612607
279,0.4267892317793828
280,0.4202232435981616
281,0.42350623768877216
282,0.4248194353250164
283,0.4248194353250164
284,0.4195666447800394
285,0.4248194353250164
286,0.4248194353250164
287,0.42153644123440576
288,0.4195666447800394
289,0.4221930400525279
290,0.42153644123440576
291,0.42153644123440576
292,0.42153644123440576
293,0.4202232435981616
294,0.4202232435981616
295,0.42284963887065
296,0.4202232435981616
297,0.42153644123440576
298,0.42350623768877216
299,0.4195666447800394
300,0.42284963887065
300,0.4248194353250164
301,0.42153644123440576
302,0.4221930400525279
303,0.42350623768877216
304,0.42678923177938277
305,0.42153644123440576
306,0.42153644123440576
307,0.42153644123440576
308,0.42284963887065
309,0.42284963887065
310,0.4189100459619173
311,0.42547603414313856
312,0.42284963887065
313,0.4208798424162837
314,0.42350623768877216
315,0.42284963887065
316,0.4248194353250164
317,0.4221930400525279
318,0.42350623768877216
319,0.4248194353250164
320,0.42350623768877216
321,0.4248194353250164
322,0.4241628365068943
323,0.4241628365068943
324,0.42547603414313856
325,0.4241628365068943
326,0.42350623768877216
327,0.42284963887065
328,0.4261326329612607
329,0.4248194353250164
330,0.4208798424162837
331,0.4221930400525279
332,0.42350623768877216
333,0.4241628365068943
334,0.4248194353250164
335,0.42350623768877216
336,0.42547603414313856
337,0.4294156270518713
338,0.42547603414313856
339,0.4313854235062377
340,0.4221930400525279
341,0.4221930400525279
342,0.4221930400525279
343,0.4274458305975049
344,0.4221930400525279
345,0.42547603414313856
346,0.4248194353250164
347,0.4241628365068943
348,0.42022324359816154
349,0.4248194353250164
350,0.42547603414313856
351,0.42350623768877216
352,0.4287590282337492
353,0.42547603414313856
354,0.4274458305975049
355,0.42678923177938277
356,0.4261326329612607
357,0.42678923177938277
358,0.4294156270518713
359,0.42810242941562704
360,0.4294156270518713
361,0.4307288246881156
362,0.43204202232435984
363,0.4307288246881156
364,0.42810242941562704
365,0.4274458305975049
366,0.43204202232435984
367,0.42810242941562704
368,0.4274458305975049
369,0.42547603414313856
370,0.4261326329612607
371,0.4294156270518713
372,0.42678923177938277
373,0.4241628365068943
374,0.42350623768877216
375,0.42284963887065
376,0.42547603414313856
377,0.4248194353250164
378,0.4248194353250164
379,0.4241628365068943
380,0.4261326329612607
381,0.4248194353250164
382,0.4241628365068943
383,0.4221930400525279
384,0.42547603414313856
385,0.4241628365068943
386,0.4248194353250164
387,0.42547603414313856
388,0.42678923177938277
389,0.4274458305975049
390,0.42678923177938277
391,0.4261326329612607
392,0.4248194353250164
393,0.4248194353250164
394,0.4221930400525279
395,0.4221930400525279
396,0.42284963887065
397,0.42678923177938277
398,0.4274458305975049
399,0.42284963887065
400,0.4241628365068943
401,0.42547603414313856
402,0.4241628365068943
403,0.42547603414313856
404,0.42350623768877216
405,0.4241628365068943
406,0.42022324359816154
407,0.42350623768877216
408,0.4248194353250164
409,0.42350623768877216
410,0.42350623768877216
411,0.42022324359816154
412,0.42350623768877216
413,0.4221930400525279
414,0.42547603414313856
415,0.42678923177938277
416,0.42547603414313856
417,0.42547603414313856
418,0.4261326329612607
419,0.4261326329612607
420,0.4248194353250164
421,0.4241628365068943
422,0.42547603414313856
423,0.4274458305975049
424,0.4274458305975049
425,0.4248194353250164
426,0.4248194353250164
427,0.4241628365068943
428,0.4248194353250164
429,0.4287590282337492
430,0.4248194353250164
431,0.4274458305975049
432,0.4261326329612607
433,0.4221930400525279
434,0.4287590282337492
435,0.42547603414313856
436,0.4261326329612607
437,0.4261326329612607
438,0.4287590282337492
439,0.42810242941562704
440,0.42678923177938277
441,0.42678923177938277
442,0.4287590282337492
443,0.4287590282337492
444,0.42678923177938277
445,0.4294156270518713
446,0.43007222586999344
447,0.4307288246881156
448,0.4326986211424819
449,0.43007222586999344
450,0.43007222586999344
451,0.43007222586999344
452,0.4294156270518713
453,0.4287590282337492
454,0.4294156270518713
455,0.4313854235062377
456,0.4294156270518713
457,0.42810242941562704
458,0.4313854235062377
459,0.4287590282337492
460,0.42810242941562704
461,0.42810242941562704
462,0.4274458305975049
463,0.42678923177938277
464,0.4287590282337492
465,0.4261326329612607
466,0.4294156270518713
467,0.4287590282337492
468,0.43007222586999344
469,0.43007222586999344
470,0.43007222586999344
471,0.43007222586999344
472,0.42678923177938277
473,0.4313854235062377
474,0.4287590282337492
475,0.4313854235062377
476,0.42810242941562704
477,0.4274458305975049
478,0.4287590282337492
479,0.4261326329612607
480,0.42810242941562704
481,0.42350623768877216
482,0.42350623768877216
483,0.4287590282337492
484,0.4294156270518713
485,0.4287590282337492
486,0.43007222586999344
487,0.43204202232435984
488,0.4313854235062377
489,0.4294156270518713
490,0.43204202232435984
491,0.42810242941562704
492,0.4307288246881156
493,0.42810242941562704
494,0.42810242941562704
495,0.43007222586999344
496,0.43007222586999344
497,0.43007222586999344
498,0.4307288246881156
499,0.4326986211424819
500,0.4307288246881156
501,0.4313854235062377
502,0.4307288246881156
503,0.4307288246881156
504,0.4313854235062377
505,0.4294156270518713
506,0.4307288246881156
507,0.43335521996060405
508,0.4313854235062377
509,0.4313854235062377
510,0.4326986211424819
511,0.43007222586999344
512,0.42810242941562704
513,0.43204202232435984
514,0.4294156270518713
515,0.4313854235062377
516,0.4326986211424819
517,0.43007222586999344
518,0.43532501641497046
519,0.43007222586999344
520,0.4307288246881156
521,0.4307288246881156
522,0.4313854235062377
523,0.43007222586999344
524,0.4326986211424819
525,0.4307288246881156
526,0.4340118187787262
527,0.4326986211424819
528,0.4307288246881156
529,0.4307288246881156
530,0.4313854235062377
531,0.43335521996060405
532,0.4294156270518713
533,0.4326986211424819
534,0.4294156270518713
535,0.4287590282337492
536,0.4287590282337492
537,0.4313854235062377
538,0.4313854235062377
539,0.4294156270518713
540,0.43007222586999344
541,0.43007222586999344
542,0.43007222586999344
543,0.4274458305975049
544,0.4294156270518713
545,0.4294156270518713
546,0.42810242941562704
547,0.43007222586999344
548,0.4307288246881156
549,0.4307288246881156
550,0.43007222586999344
551,0.42810242941562704
552,0.4287590282337492
553,0.42678923177938277
554,0.42547603414313856
555,0.4274458305975049
556,0.4261326329612607
557,0.42678923177938277
558,0.42678923177938277
559,0.43007222586999344
560,0.42678923177938277
561,0.4313854235062377
562,0.4294156270518713
563,0.42153644123440576
