epoch,accuracy,train_loss
1,0.26329612606697306,1.928013026714325
2,0.3854235062376888,1.782399833202362
3,0.4077478660538411,1.7021810412406921
4,0.48391332895600786,1.609088623523712
5,0.4885095206828628,1.5866021752357482
6,0.4799737360472751,1.5153226852416992
7,0.5265922521339461,1.5394202947616578
8,0.541037426132633,1.5156045079231262
9,0.5449770190413658,1.4619857907295226
10,0.5633617859487853,1.4060540795326233
11,0.5600787918581747,1.3971446990966796
12,0.5699277741300066,1.37065087556839
13,0.5613919894944189,1.3243096828460694
14,0.5692711753118844,1.3829815864562989
15,0.5771503611293499,1.350844669342041
16,0.5817465528562049,1.3660213351249695
17,0.5738673670387393,1.3434756636619567
18,0.5699277741300066,1.3389484763145447
19,0.5804333552199606,1.2726277351379394
20,0.5810899540380827,1.2646639585494994
21,0.5758371634931058,1.2522510886192322
22,0.5791201575837164,1.24845130443573
23,0.5856861457649376,1.2315378308296203
24,0.5837163493105713,1.1848215103149413
25,0.592908732764281,1.2414448738098145
26,0.587655942219304,1.1960766792297364
27,0.5975049244911359,1.18823299407959
28,0.5955351280367696,1.2118033170700073
29,0.5850295469468155,1.1993940353393555
30,0.5955351280367696,1.1814576029777526
31,0.6047275114904793,1.170874011516571
32,0.5922521339461589,1.165826952457428
33,0.5883125410374261,1.142948281764984
34,0.5948785292186474,1.131602257490158
35,0.6021011162179908,1.1317749321460724
36,0.5968483256730138,1.146616780757904
37,0.6099803020354564,1.0683102071285249
38,0.6047275114904793,1.081473207473755
39,0.6007879185817465,1.1145350575447082
40,0.6014445173998687,1.1157042264938355
41,0.5922521339461589,1.099968922138214
42,0.6014445173998687,1.0734854698181153
43,0.5948785292186474,1.0336095154285432
44,0.6047275114904793,1.026154452562332
45,0.5988181221273802,1.0333343327045441
46,0.603414313854235,1.025038468837738
47,0.5948785292186474,1.0004930555820466
48,0.5942219304005253,0.9877645671367645
49,0.5935653315824031,0.9364382088184356
50,0.6021011162179908,0.9501074135303498
51,0.5981615233092581,0.9577820956707
52,0.5915955351280368,0.9494359910488128
53,0.5968483256730138,0.9223711550235748
54,0.5883125410374261,0.8995450496673584
55,0.6053841103086014,0.8989677608013154
56,0.602757715036113,0.8726561784744262
57,0.5994747209455022,0.8568234980106354
58,0.587655942219304,0.8503586411476135
59,0.5751805646749836,0.8725829958915711
60,0.5955351280367696,0.8572333872318267
61,0.5764937623112278,0.8229219317436218
62,0.572554169402495,0.8318337857723236
63,0.5817465528562049,0.7995275318622589
64,0.5896257386736704,0.7670877993106842
65,0.5843729481286933,0.7700408637523651
66,0.5922521339461589,0.7868584930896759
67,0.5830597504924491,0.7410216271877289
68,0.5771503611293499,0.7831662178039551
69,0.5738673670387393,0.6847792029380798
70,0.5646749835850295,0.698276937007904
71,0.5843729481286933,0.6984776139259339
72,0.5948785292186474,0.702681976556778
73,0.587655942219304,0.7086838722229004
