batch,accuracy
1,0.3355219960604071
2,0.44057780695994747
3,0.4576493762311228
4,0.4891661195009849
5,0.5364412344057781
6,0.5443204202232436
7,0.5686145764937623
8,0.5659881812212738
9,0.5607353906762967
10,0.5771503611293499
11,0.5633617859487853
12,0.572554169402495
13,0.5830597504924491
14,0.5778069599474721
15,0.5804333552199606
16,0.5804333552199606
17,0.5883125410374261
18,0.582403151674327
19,0.5778069599474721
20,0.5869993434011819
21,0.5948785292186474
22,0.6001313197636244
23,0.5909389363099147
24,0.5883125410374261
25,0.5810899540380827
26,0.5968483256730138
27,0.5968483256730138
28,0.5942219304005253
29,0.5902823374917925
30,0.6001313197636244
31,0.5981615233092581
32,0.6021011162179908
33,0.5955351280367696
34,0.5869993434011819
35,0.6047275114904793
36,0.6001313197636244
37,0.5935653315824031
38,0.5896257386736704
39,0.602757715036113
40,0.5915955351280368
41,0.5968483256730138
42,0.5961917268548916
43,0.5889691398555482
44,0.5902823374917925
45,0.5883125410374261
46,0.5856861457649376
47,0.5902823374917925
48,0.5830597504924491
49,0.5830597504924491
50,0.5994747209455022
51,0.5869993434011819
52,0.5922521339461589
53,0.587655942219304
54,0.5856861457649376
55,0.5791201575837164
56,0.5843729481286933
57,0.592908732764281
58,0.5869993434011819
59,0.5889691398555482
60,0.5850295469468155
61,0.5863427445830598
62,0.5804333552199606
63,0.5784635587655942
64,0.5863427445830598
65,0.5830597504924491
66,0.5771503611293499
67,0.5942219304005253
68,0.5705843729481287
69,0.5817465528562049
70,0.5778069599474721
71,0.5712409717662508
72,0.5791201575837164
73,0.5712409717662508
74,0.5738673670387393
75,0.5791201575837164
76,0.571897570584373
77,0.5784635587655942
78,0.5705843729481287
79,0.5699277741300066
80,0.5791201575837164
81,0.5666447800393959
82,0.5817465528562049
83,0.5686145764937623
84,0.5751805646749836
85,0.5705843729481287
86,0.5581089954038083
87,0.5679579776756402
88,0.5587655942219304
89,0.5712409717662508
90,0.5686145764937623
91,0.562048588312541
92,0.5666447800393959
93,0.562048588312541
94,0.5574523965856861
95,0.5699277741300066
96,0.5548260013131976
97,0.5659881812212738
98,0.5600787918581747
99,0.5594221930400525
100,0.5653315824031516
101,0.5613919894944189
102,0.5587655942219304
103,0.556795797767564
104,0.5554826001313198
105,0.551543007222587
106,0.5607353906762967
107,0.5502298095863427
108,0.5581089954038083
109,0.5594221930400525
110,0.5640183847669075
111,0.5699277741300066
112,0.5607353906762967
113,0.5653315824031516
114,0.562048588312541
115,0.5640183847669075
116,0.5594221930400525
117,0.5548260013131976
118,0.5613919894944189
119,0.5692711753118844
120,0.5653315824031516
121,0.5732107682206172
122,0.5613919894944189
123,0.5692711753118844
124,0.5581089954038083
125,0.5574523965856861
126,0.5574523965856861
127,0.5600787918581747
128,0.5633617859487853
129,0.5613919894944189
130,0.5613919894944189
131,0.5653315824031516
132,0.5528562048588312
133,0.5489166119500984
134,0.556795797767564
135,0.5587655942219304
136,0.5535128036769534
137,0.5640183847669075
138,0.5554826001313198
139,0.5666447800393959
140,0.5541694024950755
141,0.5535128036769534
142,0.556795797767564
143,0.5574523965856861
144,0.5502298095863427
145,0.5508864084044649
146,0.5528562048588312
147,0.5587655942219304
148,0.5469468154957321
149,0.5613919894944189
150,0.5528562048588312
151,0.5469468154957321
152,0.5561391989494419
153,0.5574523965856861
154,0.5476034143138543
155,0.5541694024950755
156,0.556795797767564
157,0.5574523965856861
158,0.5594221930400525
159,0.5384110308601444
160,0.5436638214051215
161,0.5476034143138543
162,0.5561391989494419
163,0.551543007222587
164,0.5430072225869993
165,0.5587655942219304
166,0.5469468154957321
167,0.5561391989494419
168,0.5594221930400525
169,0.5476034143138543
170,0.5508864084044649
171,0.5627051871306632
172,0.5521996060407092
173,0.5581089954038083
174,0.5495732107682206
175,0.5521996060407092
176,0.5476034143138543
177,0.5541694024950755
178,0.5686145764937623
179,0.5587655942219304
180,0.5587655942219304
181,0.5600787918581747
182,0.5528562048588312
183,0.5535128036769534
184,0.5587655942219304
185,0.5594221930400525
186,0.5554826001313198
187,0.5561391989494419
188,0.5535128036769534
189,0.5613919894944189
190,0.5548260013131976
191,0.5561391989494419
192,0.5449770190413658
193,0.5554826001313198
194,0.5495732107682206
195,0.556795797767564
196,0.5561391989494419
197,0.5482600131319764
198,0.5489166119500984
199,0.5535128036769534
200,0.5561391989494419
201,0.5587655942219304
202,0.5489166119500984
203,0.5535128036769534
204,0.5521996060407092
205,0.5574523965856861
206,0.5613919894944189
207,0.5594221930400525
208,0.5482600131319764
209,0.556795797767564
210,0.5482600131319764
211,0.5581089954038083
212,0.5574523965856861
213,0.5528562048588312
214,0.5554826001313198
215,0.5594221930400525
216,0.5561391989494419
217,0.556795797767564
218,0.5627051871306632
219,0.551543007222587
220,0.5581089954038083
221,0.562048588312541
222,0.5673013788575181
223,0.5535128036769534
224,0.5581089954038083
225,0.5521996060407092
226,0.5535128036769534
227,0.5502298095863427
228,0.5548260013131976
229,0.5627051871306632
230,0.5574523965856861
231,0.556795797767564
232,0.5554826001313198
233,0.5581089954038083
234,0.5587655942219304
235,0.5535128036769534
236,0.5607353906762967
237,0.5627051871306632
238,0.5528562048588312
239,0.5666447800393959
240,0.5666447800393959
241,0.5528562048588312
242,0.5581089954038083
243,0.5679579776756402
244,0.5653315824031516
245,0.562048588312541
246,0.5574523965856861
247,0.5673013788575181
248,0.5574523965856861
249,0.5554826001313198
250,0.5600787918581747
251,0.5508864084044649
252,0.5521996060407092
253,0.5541694024950755
254,0.5535128036769534
255,0.562048588312541
256,0.551543007222587
257,0.5594221930400525
258,0.5607353906762967
259,0.5607353906762967
260,0.5502298095863427
261,0.5600787918581747
262,0.5574523965856861
263,0.5541694024950755
264,0.5633617859487853
265,0.5653315824031516
266,0.551543007222587
267,0.5594221930400525
268,0.5607353906762967
269,0.5574523965856861
270,0.5541694024950755
271,0.556795797767564
272,0.5554826001313198
273,0.5607353906762967
274,0.5528562048588312
275,0.5508864084044649
276,0.556795797767564
277,0.5554826001313198
278,0.5521996060407092
279,0.5508864084044649
280,0.5528562048588312
281,0.5587655942219304
282,0.556795797767564
283,0.5482600131319764
284,0.5495732107682206
285,0.5495732107682206
286,0.5554826001313198
287,0.5508864084044649
288,0.5489166119500984
289,0.5528562048588312
290,0.5482600131319764
291,0.5502298095863427
292,0.5508864084044649
293,0.54629021667761
294,0.5521996060407092
295,0.5548260013131976
296,0.5436638214051215
297,0.5476034143138543
298,0.5528562048588312
299,0.5476034143138543
300,0.5443204202232436
