batch,accuracy
1,0.2081418253447144
2,0.2298095863427446
3,0.2646093237032173
4,0.2974392646093237
5,0.3276428102429416
6,0.3532501641497045
7,0.3749179251477348
8,0.3768877216021011
9,0.38476690741956665
10,0.3978988837820092
11,0.4044648719632304
12,0.40971766250820746
13,0.4162836506894288
14,0.42284963887065
15,0.4287590282337492
16,0.4346684175968483
17,0.43860801050558107
18,0.4425476034143139
19,0.44845699277741297
20,0.4576493762311228
21,0.4550229809586343
22,0.4596191726854892
23,0.4701247537754432
24,0.4609323703217334
25,0.4648719632304662
26,0.4596191726854892
27,0.4655285620485883
28,0.4727511490479317
29,0.4661851608667104
30,0.4674983585029547
31,0.4714379514116875
32,0.4727511490479317
33,0.4701247537754432
34,0.4674983585029547
35,0.4615889691398555
36,0.4668417596848326
37,0.4681549573210768
38,0.4727511490479317
39,0.4681549573210768
40,0.4635587655942219
41,0.4681549573210768
42,0.4720945502298096
43,0.4727511490479317
44,0.4714379514116875
45,0.4806303348653973
46,0.4760341431385424
47,0.4766907419566645
48,0.4753775443204202
49,0.4819435325016415
50,0.4819435325016415
51,0.4819435325016415
52,0.4793171372291529
53,0.4793171372291529
54,0.4826001313197637
55,0.4885095206828628
56,0.4812869336835194
57,0.4812869336835194
58,0.4806303348653973
59,0.4806303348653973
60,0.4819435325016415
61,0.4780039395929087
62,0.4799737360472751
63,0.4832567301378857
64,0.4826001313197637
65,0.4845699277741301
66,0.4793171372291529
67,0.4878529218647407
68,0.4773473407747866
69,0.4845699277741301
70,0.4845699277741301
71,0.4858831254103743
72,0.4865397242284964
73,0.4839133289560079
74,0.4786605384110309
75,0.4858831254103743
76,0.4839133289560079
77,0.4858831254103743
78,0.4878529218647407
79,0.4852265265922521
80,0.4839133289560079
81,0.4812869336835194
1,0.19107025607353906
2,0.21996060407091267
3,0.2350623768877216
4,0.24031516743269865
5,0.2560735390676297
6,0.25804333552199604
7,0.2646093237032173
8,0.2711753118844386
9,0.27971109652002624
10,0.2902166776099803
11,0.2941562705187131
12,0.2875902823374918
13,0.29875246224556795
14,0.2941562705187131
15,0.2994090610636901
16,0.30334865397242283
17,0.30860144451739985
18,0.3131976362442548
19,0.3131976362442548
20,0.3158240315167433
21,0.3164806303348654
22,0.319763624425476
23,0.319763624425476
24,0.3230466185160867
25,0.3276428102429416
26,0.3263296126066973
27,0.3237032173342088
28,0.3263296126066973
29,0.3256730137885752
30,0.329612606697308
31,0.32895600787918583
32,0.3335521996060407
33,0.3355219960604071
34,0.34143138542350626
35,0.334865397242285
36,0.3368351936966513
37,0.33946158896913986
38,0.340118187787262
39,0.34405778069599474
40,0.3473407747866054
41,0.34602757715036114
42,0.3407747866053841
43,0.345370978332239
44,0.3565331582403152
45,0.3545633617859488
46,0.34931057124097176
47,0.3479973736047275
48,0.35128036769533816
49,0.3565331582403152
50,0.35784635587655944
51,0.35784635587655944
52,0.3499671700590939
53,0.35128036769533816
54,0.3565331582403152
55,0.35390676296782664
56,0.35915955351280365
57,0.3571897570584373
58,0.3637557452396586
59,0.3571897570584373
60,0.3637557452396586
61,0.3617859487852922
62,0.36572554169402494
63,0.36638214051214707
64,0.36441234405778067
65,0.36966513460275774
66,0.3624425476034143
67,0.3604727511490479
68,0.36441234405778067
69,0.36441234405778067
70,0.3690085357846356
71,0.36638214051214707
72,0.3650689428759028
73,0.3716349310571241
74,0.36769533814839134
75,0.36769533814839134
76,0.3650689428759028
77,0.36638214051214707
78,0.3650689428759028
79,0.3617859487852922
80,0.36638214051214707
81,0.36309914642153646
82,0.36769533814839134
83,0.3571897570584373
84,0.36441234405778067
85,0.3624425476034143
86,0.3637557452396586
87,0.36309914642153646
88,0.3650689428759028
89,0.36572554169402494
90,0.36769533814839134
91,0.3617859487852922
92,0.3690085357846356
93,0.3703217334208798
94,0.3637557452396586
95,0.3637557452396586
96,0.3650689428759028
97,0.36638214051214707
98,0.36835193696651347
99,0.3736047275114905
100,0.36966513460275774
101,0.3716349310571241
102,0.37294812869336835
103,0.3755745239658569
104,0.3755745239658569
105,0.3755745239658569
106,0.37623112278397897
107,0.3768877216021011
108,0.3736047275114905
109,0.37951411687458964
110,0.37491792514773475
111,0.3755745239658569
112,0.37754432042022323
113,0.37820091923834537
114,0.3788575180564675
115,0.37623112278397897
116,0.3788575180564675
117,0.38017071569271177
118,0.37754432042022323
119,0.3736047275114905
120,0.37491792514773475
121,0.3788575180564675
122,0.3841103086014445
123,0.37951411687458964
124,0.381483913328956
125,0.38017071569271177
126,0.38017071569271177
127,0.37951411687458964
128,0.3742613263296126
129,0.381483913328956
130,0.3834537097833224
131,0.3834537097833224
132,0.3788575180564675
133,0.3821405121470781
134,0.381483913328956
135,0.3834537097833224
136,0.38017071569271177
137,0.3808273145108339
138,0.37754432042022323
139,0.3788575180564675
140,0.3808273145108339
141,0.37820091923834537
142,0.37294812869336835
143,0.37294812869336835
144,0.3736047275114905
145,0.3788575180564675
146,0.3808273145108339
147,0.3703217334208798
148,0.38017071569271177
149,0.3722915298752462
150,0.38017071569271177
151,0.37754432042022323
152,0.37294812869336835
153,0.3722915298752462
154,0.3755745239658569
155,0.3768877216021011
156,0.3722915298752462
157,0.36835193696651347
158,0.3722915298752462
159,0.37491792514773475
160,0.3736047275114905
161,0.37951411687458964
162,0.37951411687458964
163,0.3808273145108339
164,0.3768877216021011
165,0.38279711096520025
166,0.3788575180564675
167,0.3788575180564675
168,0.3736047275114905
169,0.3788575180564675
170,0.3736047275114905
171,0.3768877216021011
172,0.3854235062376888
173,0.38017071569271177
174,0.37754432042022323
175,0.37623112278397897
176,0.3860801050558109
177,0.381483913328956
178,0.3841103086014445
179,0.3926460932370322
180,0.38673670387393305
181,0.38279711096520025
182,0.38804990151017726
183,0.38476690741956665
184,0.3854235062376888
185,0.38476690741956665
186,0.37820091923834537
187,0.3788575180564675
188,0.37951411687458964
189,0.38279711096520025
190,0.37754432042022323
191,0.37951411687458964
192,0.3808273145108339
193,0.38017071569271177
194,0.3768877216021011
195,0.38017071569271177
196,0.3841103086014445
197,0.3788575180564675
198,0.3788575180564675
199,0.381483913328956
200,0.37951411687458964
201,0.37820091923834537
202,0.37623112278397897
203,0.3736047275114905
204,0.3736047275114905
205,0.3768877216021011
206,0.3841103086014445
207,0.37951411687458964
208,0.37820091923834537
209,0.38476690741956665
210,0.3788575180564675
211,0.3768877216021011
212,0.3768877216021011
213,0.38017071569271177
214,0.3736047275114905
215,0.38279711096520025
216,0.3854235062376888
217,0.3841103086014445
218,0.38476690741956665
219,0.3808273145108339
220,0.38476690741956665
221,0.3834537097833224
222,0.38476690741956665
223,0.3841103086014445
224,0.38476690741956665
225,0.381483913328956
226,0.3808273145108339
227,0.37951411687458964
228,0.38017071569271177
229,0.3821405121470781
230,0.38017071569271177
231,0.3860801050558109
232,0.3841103086014445
233,0.3821405121470781
234,0.381483913328956
235,0.38279711096520025
236,0.38279711096520025
237,0.3821405121470781
238,0.381483913328956
239,0.3768877216021011
240,0.3841103086014445
241,0.3834537097833224
242,0.38279711096520025
243,0.38804990151017726
244,0.38279711096520025
245,0.38476690741956665
246,0.38673670387393305
247,0.3860801050558109
248,0.3860801050558109
249,0.3860801050558109
250,0.38279711096520025
251,0.3841103086014445
252,0.38804990151017726
253,0.3887065003282994
254,0.38476690741956665
255,0.38279711096520025
256,0.38279711096520025
257,0.38476690741956665
258,0.3841103086014445
259,0.38936309914642153
260,0.38936309914642153
261,0.38673670387393305
262,0.3834537097833224
263,0.38936309914642153
264,0.38739330269205513
265,0.38476690741956665
266,0.38739330269205513
267,0.3887065003282994
268,0.38673670387393305
269,0.38279711096520025
270,0.38804990151017726
271,0.38476690741956665
272,0.3841103086014445
273,0.3834537097833224
274,0.3834537097833224
275,0.38804990151017726
276,0.3906762967826658
277,0.3887065003282994
278,0.38804990151017726
279,0.39198949441891007
280,0.39198949441891007
281,0.3887065003282994
282,0.3887065003282994
283,0.3860801050558109
284,0.3906762967826658
285,0.39133289560078793
286,0.38739330269205513
287,0.3906762967826658
288,0.38804990151017726
289,0.3933026920551543
290,0.39133289560078793
291,0.3854235062376888
292,0.38739330269205513
293,0.3906762967826658
294,0.3860801050558109
295,0.38936309914642153
296,0.38673670387393305
297,0.38804990151017726
298,0.38739330269205513
299,0.38804990151017726
300,0.38804990151017726
